Latitude,Longitude,daerah,year,projected_population
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2025,521488.33061999513
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2026,528530.3442427577
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2027,530825.4107278157
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2028,533805.9111921617
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2029,537154.5997291052
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2030,539052.5057762747
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2031,544108.1929765654
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2032,546654.214621404
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2033,550735.9784850432
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2034,555212.9372878096
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2035,558146.1425187208
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2036,563052.8771710162
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2037,566620.5342244536
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2038,570468.8156809334
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2039,575079.7968503593
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2040,578431.9013987333
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2041,582906.0055195246
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2042,586883.9906653743
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2043,590624.1249022933
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2044,595107.0957781594
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2045,598764.3428614837
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2046,602947.668491636
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2047,607089.5149593509
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2048,610853.7200372464
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2049,615173.7577507372
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2050,619039.6172348734
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2051,623072.2532440753
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2052,627250.7993017015
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2053,631090.000060258
1.929606639930134,103.03342036529357,"Batu Pahat, Johor",2054,635276.7312205691
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2025,1821686.987277039
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2026,1846286.472687504
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2027,1854303.7043402144
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2028,1864715.3254497747
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2029,1876413.1180445603
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2030,1883042.9706149765
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2031,1900703.729339075
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2032,1909597.6090817223
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2033,1923856.214076179
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2034,1939495.3321823864
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2035,1949741.739410351
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2036,1966882.1702527453
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2037,1979344.8737260664
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2038,1992787.8672525256
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2039,2008895.158445286
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2040,2020604.88400809
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2041,2036234.030008113
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2042,2050130.1104192708
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2043,2063195.3191114084
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2044,2078855.438867488
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2045,2091631.1023478727
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2046,2106244.4875696106
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2047,2120712.97587608
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2048,2133862.2699354347
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2049,2148953.224085561
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2050,2162457.621985548
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2051,2176544.611302556
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2052,2191141.3003020305
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2053,2204552.5727174487
1.4951214998410411,103.8828253,"Johor Bahru, Johor",2054,2219177.8542935457
2.0229011997842714,103.31477209999998,"Kluang, Johor",2025,339785.8014369456
2.0229011997842714,103.31477209999998,"Kluang, Johor",2026,344374.1615248799
2.0229011997842714,103.31477209999998,"Kluang, Johor",2027,345869.55645356287
2.0229011997842714,103.31477209999998,"Kluang, Johor",2028,347811.5591399068
2.0229011997842714,103.31477209999998,"Kluang, Johor",2029,349993.46188149886
2.0229011997842714,103.31477209999998,"Kluang, Johor",2030,351230.07925033395
2.0229011997842714,103.31477209999998,"Kluang, Johor",2031,354524.2099648659
2.0229011997842714,103.31477209999998,"Kluang, Johor",2032,356183.1195785072
2.0229011997842714,103.31477209999998,"Kluang, Johor",2033,358842.67171850253
2.0229011997842714,103.31477209999998,"Kluang, Johor",2034,361759.72075963754
2.0229011997842714,103.31477209999998,"Kluang, Johor",2035,363670.907322488
2.0229011997842714,103.31477209999998,"Kluang, Johor",2036,366867.9851253343
2.0229011997842714,103.31477209999998,"Kluang, Johor",2037,369192.56103619543
2.0229011997842714,103.31477209999998,"Kluang, Johor",2038,371699.9832009261
2.0229011997842714,103.31477209999998,"Kluang, Johor",2039,374704.35710551817
2.0229011997842714,103.31477209999998,"Kluang, Johor",2040,376888.4856153844
2.0229011997842714,103.31477209999998,"Kluang, Johor",2041,379803.67463330174
2.0229011997842714,103.31477209999998,"Kluang, Johor",2042,382395.6077438276
2.0229011997842714,103.31477209999998,"Kluang, Johor",2043,384832.5644973227
2.0229011997842714,103.31477209999998,"Kluang, Johor",2044,387753.53082089056
2.0229011997842714,103.31477209999998,"Kluang, Johor",2045,390136.4808473712
2.0229011997842714,103.31477209999998,"Kluang, Johor",2046,392862.2075193815
2.0229011997842714,103.31477209999998,"Kluang, Johor",2047,395560.90764137293
2.0229011997842714,103.31477209999998,"Kluang, Johor",2048,398013.54821656103
2.0229011997842714,103.31477209999998,"Kluang, Johor",2049,400828.352288919
2.0229011997842714,103.31477209999998,"Kluang, Johor",2050,403347.22775732714
2.0229011997842714,103.31477209999998,"Kluang, Johor",2051,405974.769694193
2.0229011997842714,103.31477209999998,"Kluang, Johor",2052,408697.3821433414
2.0229011997842714,103.31477209999998,"Kluang, Johor",2053,411198.88760382327
2.0229011997842714,103.31477209999998,"Kluang, Johor",2054,413926.8332148325
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2025,237124.90838084405
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2026,240326.96821050308
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2027,241370.55326896507
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2028,242725.81063147765
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2029,244248.4860508387
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2030,245111.47908658977
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2031,247410.3404297494
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2032,248568.0368034155
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2033,250424.0474279428
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2034,252459.75634719827
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2035,253793.50818938264
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2036,256024.63961947875
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2037,257646.8817719059
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2038,259396.7260813779
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2039,261493.3760410156
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2040,263017.60474805336
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2041,265052.0156206182
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2042,266860.83723342116
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2043,268561.50613852794
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2044,270599.94879543246
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2045,272262.928249888
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2046,274165.1198206903
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2047,276048.45048509224
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2048,277760.0645938135
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2049,279724.42024065106
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2050,281482.2574196713
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2051,283315.92921646574
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2052,285215.94747747213
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2053,286961.66272108274
1.7641518177104518,103.95181832075535,"Kota Tinggi, Johor",2054,288865.4028136438
1.6569369998235777,103.605879,"Kulai, Johor",2025,351802.6163658131
1.6569369998235777,103.605879,"Kulai, Johor",2026,356553.24772515
